Full_sesti,ALIAS
22,SC-AA-AA-01
2,SC-AA-AA-01
2A,SC-AA-AA-01
2B,SC-AA-AA-01
22A,SC-AA-AA-01
22B,SC-AA-AA-01
4,SC-AA-AA-01
3,SC-AA-AA-01
5,SC-AA-AA-01
4A,SC-AA-AA-01
6,SC-AA-AA-01
7,SC-AA-AA-01
8,SC-AA-AA-01
13,SC-AA-AA-01
11,SC-AA-AA-01
9,SC-AA-AA-01
22C,SC-AA-AA-01
22D,SC-AA-AA-01
22E,SC-AA-AA-01
22F,SC-AA-AA-01
22G,SC-AA-AA-01
22H,SC-AA-AA-01
22I,SC-AA-AA-01
22M,SC-AA-AA-01
2,SC-AA-AA-01
4,SC-AA-AA-01
6,SC-AA-AA-01
8,SC-AA-AA-01
10,SC-AA-AA-01
22S,SC-AA-AA-01
1,SC-AA-AA-01
3,SC-AA-AA-01
5,SC-AA-AA-01
7,SC-AA-AA-01
9,SC-AA-AA-01
11,SC-AA-AA-01
13,SC-AA-AA-01
13A,SC-AA-AA-01
15,SC-AA-AA-01
17,SC-AA-AA-01
12,SC-AA-AA-01
14,SC-AA-AA-01
16,SC-AA-AA-01
16A,SC-AA-AA-01
18,SC-AA-AA-01
20,SC-AA-AA-01
19,SC-AA-AA-01
21,SC-AA-AA-01
2,SC-AA-AA-01
4,SC-AA-AA-01
3,SC-AA-AA-01
24,SC-AA-AA-01
6,SC-AA-AA-01
6B,SC-AA-AA-01
8,SC-AA-AA-01
5,SC-AA-AA-01
11,SC-AA-AA-01
10,SC-AA-AA-01
13,SC-AA-AA-01
9,SC-AA-AA-01
7,SC-AA-AA-01
24B,SC-AA-AA-01
24F,SC-AA-AA-01
24H,SC-AA-AA-01
6,SC-AA-AA-01
8,SC-AA-AA-01
10,SC-AA-AA-01
12,SC-AA-AA-01
14,SC-AA-AA-01
16,SC-AA-AA-01
18,SC-AA-AA-01
20,SC-AA-AA-01
22,SC-AA-AA-01
24,SC-AA-AA-01
24A,SC-AA-AA-01
26,SC-AA-AA-01
1,SC-AA-AA-01
3,SC-AA-AA-01
5,SC-AA-AA-01
7,SC-AA-AA-01
7,SC-AA-AA-01
9,SC-AA-AA-01
11,SC-AA-AA-01
6B,SC-AA-AA-01
4,SC-AA-AA-01
18,SC-AA-AA-01
7,SC-AA-AA-01
9,SC-AA-AA-01
13,SC-AA-AA-01
11,SC-AA-AA-01
5,SC-AA-AA-01
3,SC-AA-AA-01
184,SC-AA-AA-01
186,SC-AA-AA-01
188,SC-AA-AA-01
190,SC-AA-AA-01
192,SC-AA-AA-01
175A,SC-AA-AA-01
175B,SC-AA-AA-01
177,SC-AA-AA-01
182C,SC-AA-AA-01
182A,SC-AA-AA-01
182,SC-AA-AA-01
1,SC-AA-AA-01
1A,SC-AA-AA-01
6,SC-AA-AA-01
1B,SC-AA-AA-01
1,SC-AA-AA-01
1A,SC-AA-AA-01
1B,SC-AA-AA-01
3,SC-AA-AA-01
5,SC-AA-AA-01
7,SC-AA-AA-01
9,SC-AA-AA-01
9A,SC-AA-AA-01
11,SC-AA-AA-01
8,SC-AA-AA-01
6A,SC-AA-AA-01
6,SC-AA-AA-01
4,SC-AA-AA-01
1,SC-AA-AA-01
3,SC-AA-AA-01
5,SC-AA-AA-01
6,SC-AA-AA-01
8,SC-AA-AA-01
4,SC-AA-AA-01
10,SC-AA-AA-01
7,SC-AA-AA-01
2,SC-AA-AA-01
4,SC-AA-AA-01
6,SC-AA-AA-01
3,SC-AA-AA-01
9,SC-AA-AA-01
1,SC-AA-AA-01
11,SC-AA-AA-01
8,SC-AA-AA-01
12,SC-AA-AA-01
13,SC-AA-AA-01
5,SC-AA-AA-01
15,SC-AA-AA-01
2,SC-AA-AA-01
6,SC-AA-AA-01
4,SC-AA-AA-01
8,SC-AA-AA-01
12,SC-AA-AA-01
14,SC-AA-AA-01
16,SC-AA-AA-01
5,SC-AA-AA-01
3,SC-AA-AA-01
1,SC-AA-AA-01
9,SC-AA-AA-01
7,SC-AA-AA-01
24,SC-AA-AA-01
26,SC-AA-AA-01
28,SC-AA-AA-01
32,SC-AA-AA-01
30,SC-AA-AA-01
56,SC-AA-AA-01
3A,SC-AA-AA-01
5,SC-AA-AA-01
7,SC-AA-AA-01
2,SC-AA-AA-01
4,SC-AA-AA-01
4,SC-AA-AA-01
6,SC-AA-AA-01
8,SC-AA-AA-01
1,SC-AA-AA-01
3,SC-AA-AA-01
5,SC-AA-AA-01
7,SC-AA-AA-01
14,SC-AA-AA-01
12,SC-AA-AA-01
58,SC-AA-AA-01
7B,SC-AA-AA-01
60,SC-AA-AA-01
2,SC-AA-AA-01
2A,SC-AA-AA-01
4,SC-AA-AA-01
5,SC-AA-AA-01
3,SC-AA-AA-01
1,SC-AA-AA-01
6,SC-AA-AA-01
7,SC-AA-AA-01
7C,SC-AA-AA-01
60A,SC-AA-AA-01
62,SC-AA-AA-01
2,SC-AA-AA-01
4,SC-AA-AA-01
3,SC-AA-AA-01
5,SC-AA-AA-01
6,SC-AA-AA-01
7,SC-AA-AA-01
9,SC-AA-AA-01
11,SC-AA-AA-01
5,SC-AA-AA-01
4,SC-AA-AA-01
2,SC-AA-AA-01
62B,SC-AA-AA-01
7,SC-AA-AA-01
9,SC-AA-AA-01
11,SC-AA-AA-01
10,SC-AA-AA-01
8,SC-AA-AA-01
62A,SC-AA-AA-01
3A,SC-AA-AA-01
7,SC-AA-AA-01
164A,SC-AA-AA-01
164,SC-AA-AA-01
130,SC-AA-AA-01
128H,SC-AA-AA-01
128G,SC-AA-AA-01
128D,SC-AA-AA-01
128C,SC-AA-AA-01
128B,SC-AA-AA-01
128,SC-AA-AA-01
126,SC-AA-AA-01
124C,SC-AA-AA-01
15,SC-AA-AA-01
13,SC-AA-AA-01
11,SC-AA-AA-01
17,SC-AA-AA-01
106,SC-AA-AA-01
116B,SC-AA-AA-01
116A,SC-AA-AA-01
108,SC-AA-AA-01
112,SC-AA-AA-01
110,SC-AA-AA-01
116,SC-AA-AA-01
114,SC-AA-AA-01
112A,SC-AA-AA-01
6,SC-AA-AA-01
4,SC-AA-AA-01
8,SC-AA-AA-01
5,SC-AA-AA-01
3,SC-AA-AA-01
1,SC-AA-AA-01
3,SC-AA-AA-01
105A,SC-AA-AA-01
105B,SC-AA-AA-01
105C,SC-AA-AA-01
105E,SC-AA-AA-01
105G,SC-AA-AA-01
4,SC-AA-AA-01
6,SC-AA-AA-01
8,SC-AA-AA-01
1,SC-AA-AA-01
1,SC-AA-AA-01
3,SC-AA-AA-01
5,SC-AA-AA-01
7,SC-AA-AA-01
9,SC-AA-AA-01
11,SC-AA-AA-01
11A,SC-AA-AA-01
12,SC-AA-AA-01
14A,SC-AA-AA-01
14,SC-AA-AA-01
10A,SC-AA-AA-01
6,SC-AA-AA-01
4,SC-AA-AA-01
8,SC-AA-AA-01
8A,SC-AA-AA-01
8B,SC-AA-AA-01
109,SC-AA-AA-01
1,SC-AA-AA-01
2,SC-AA-AA-01
4,SC-AA-AA-01
6,SC-AA-AA-01
5,SC-AA-AA-01
11,SC-AA-AA-01
13,SC-AA-AA-01
15,SC-AA-AA-01
17,SC-AA-AA-01
19,SC-AA-AA-01
21,SC-AA-AA-01
14,SC-AA-AA-01
12,SC-AA-AA-01
132,SC-AA-AA-01
134,SC-AA-AA-01
138,SC-AA-AA-01
136,SC-AA-AA-01
140,SC-AA-AA-01
142,SC-AA-AA-01
144,SC-AA-AA-01
146,SC-AA-AA-01
146B,SC-AA-AA-01
150A,SC-AA-AA-01
150B,SC-AA-AA-01
152,SC-AA-AA-01
152C,SC-AA-AA-01
152B,SC-AA-AA-01
152A,SC-AA-AA-01
152D,SC-AA-AA-01
9,SC-AA-AA-01
