TARGET_FID_12_13,Full_sesti,Codice_1
2,CN1800,LEON
3,CN1801,LEON
5,CN1802,LEON
7,CN1803,LEON
15,CN96B,GIOB
15,CN96A,GIOB
17,CN96C,GIOB
19,CN97C,GERE
19,CN97E,GERE
20,CN1804,LEON
20,CN1809,LEON
20,CN1810,LEON
22,CN1807,LEON
22,CN1808,LEON
24,CN1978,LEON
24,CN1977,LEON
26,CN1976,LEON
38,CN51,GERE
38,CN52,GERE
38,CN53,GERE
38,CN50,GERE
38,CN49,GERE
39,CN97B,GERE
40,CN97A,GERE
40,CN96,GERE
40,CN97,GERE
41,CN740,MACE
41,CN740B,MACE
41,CN740A,MACE
42,CN813,MACE
45,CN810,MACE
49,CN95A,GERE
52,CN1310,LEON
54,CN1311,LEON
55,CN1322D,LEON
55,CN1322E,LEON
55,CN1323,LEON
55,CN1322F,LEON
55,CN1325,LEON
60,CN658A,LEON
60,CN952,LEON
60,CN956,LEON
60,CN957,LEON
60,CN959,LEON
60,CN950,LEON
60,CN957A,LEON
60,CN951,LEON
62,CN964,LEON
62,CN961,LEON
62,CN962,LEON
62,CN965,LEON
62,CN963,LEON
62,CN966,LEON
64,CN967,LEON
64,CN968,LEON
64,CN969,LEON
65,CN977A,LEON
65,CN977,LEON
65,CN977B,LEON
66,CN978,LEON
67,CN979,LEON
68,CN981A,LEON
68,CN981,LEON
69,CN986B,LEON
69,CN986A,LEON
70,CN986D,LEON
71,CN987,LEON
71,CN988,LEON
74,CN995B,LEON
74,CN995,LEON
74,CN995A,LEON
75,CN996,LEON
76,CN997,LEON
77,CN999,LEON
77,CN998,LEON
77,CN998A,LEON
80,CN1005,LEON
81,CN1006,LEON
81,CN1008,LEON
81,CN1005A,LEON
81,CN1007,LEON
83,CN1014,LEON
83,CN1016,LEON
83,CN1012,LEON
83,CN1015,LEON
84,CN1018,LEON
84,CN1018A,LEON
84,CN1017,LEON
85,CN1019,LEON
85,CN1027,LEON
85,CN1020,LEON
89,CN1045C,LEON
89,CN1045,LEON
90,CN1045B,LEON
92,CN1046,LEON
94,CN1053,LEON
96,CN1044A,LEON
96,CN1044B,LEON
96,CN1044,LEON
97,CN1043,LEON
97,CN1042,LEON
99,CN1038,LEON
100,CN1059,LEON
100,CN1058,LEON
100,CN1039,LEON
100,CN1060,LEON
100,CN1039A,LEON
101,CN1057,LEON
102,CN2954,CHIO
108,CN2909,GHET
108,CN2908,GHET
109,CN2907,GHET
109,CN2906,GHET
110,CN2904A,GHET
110,CN2905,GHET
110,CN2904,GHET
111,CN2902A,GHET
111,CN2902,GHET
114,CN2895,GHET
114,CN2897,GHET
114,CN2896,GHET
114,CN2894,GHET
115,CN2893,GHET
115,CN2892,GHET
116,CN2887,GHET
116,CN2891,GHET
116,CN2890,GHET
116,CN2888,GHET
116,CN2889,GHET
117,CN2884A,GHET
117,CN2884,GHET
117,CN2885,GHET
117,CN2886,GHET
117,CN2883,GHET
119,CN2874,GHET
120,CN1190,LEON
120,CN1192,LEON
120,CN1191,LEON
120,CN1193,LEON
120,CN1192A,LEON
122,CN1195,LEON
122,CN1195A,LEON
127,CN1198B,LEON
127,CN1198C,LEON
132,CN1063,LEON
132,CN1061,LEON
132,CN1062,LEON
133,CN1083,LEON
133,CN1084,LEON
133,CN1082,LEON
134,CN1086,LEON
134,CN1085,LEON
134,CN1088,LEON
134,CN1087,LEON
135,CN1076E,LEON
135,CN1076F,LEON
136,CN1067B,LEON
136,CN1068,LEON
137,CN1074D,LEON
137,CN1074A,LEON
137,CN1074E,LEON
137,CN1074B,LEON
137,CN1074C,LEON
139,CN1096,LEON
139,CN1097,LEON
140,CN1099,LEON
140,CN1098,LEON
141,CN1104A,LEON
143,CN1181A,LEON
143,CN1181,LEON
145,CN1188,LEON
145,CN1186,LEON
145,CN1187,LEON
145,CN1185A,LEON
148,CN1189,LEON
150,CN1106A,LEON
150,CN1106,LEON
151,CN1114,LEON
151,CN1115A,LEON
151,CN1117,LEON
151,CN1116,LEON
151,CN1115,LEON
152,CN1112,LEON
152,CN1111,LEON
152,CN1113,LEON
153,CN1110,LEON
155,CN1108A,LEON
155,CN1108,LEON
156,CN1107,LEON
158,CN1156,LEON
158,CN1156B,LEON
158,CN1156C,LEON
158,CN1155,LEON
158,CN1107A,LEON
158,CN1156A,LEON
159,CN1154,LEON
159,CN1153,LEON
159,CN1152,LEON
159,CN1150,LEON
160,CN1144,LEON
160,CN1147,LEON
160,CN1148,LEON
160,CN1149,LEON
160,CN1146,LEON
160,CN1145,LEON
161,CN1142,LEON
161,CN1143,LEON
162,CN1139,LEON
162,CN1140,LEON
162,CN1138,LEON
162,CN1141,LEON
162,CN1136,LEON
162,CN1137,LEON
163,CN1135A,LEON
163,CN1135,LEON
163,CN1134,LEON
163,CN1133,LEON
164,CN1130,LEON
164,CN1126,LEON
164,CN1131,LEON
164,CN1132,LEON
164,CN1129,LEON
166,CN1123,LEON
166,CN1125,LEON
166,CN1124,LEON
167,CN1120,LEON
