FID,INDIRIZZO,Name,ADDRESS
1,"CANNAREGIO,3013/A",I GIOIELLI DEL DOGE CANNAREGIO,CN3013A
4,"CANNAREGIO,1353/C",RESIDENZA SAN LEONARDO,CN1353C
5,"CANNAREGIO,5515/B",CASA ANNA,CN5515B
6,"CANNAREGIO,4092",CASA ELDA,CN4092
7,"CANNAREGIO,4502",CANALEVE,CN4502
9,"CANNAREGIO,963",PRINCESS GUEST HOUSE,CN963
11,"CANNAREGIO,5704",CA' PELLEGRINI,CN5704
12,"CANNAREGIO,3910",CASETTA ZEN 3910,CN3910
13,"CANNAREGIO,2525",ALBERTO BARBINI,CN2525
14,"CASTELLO,2922",Q02,CA2922
15,"CASTELLO,1607",LINDA,CA1607
16,"CANNAREGIO,4577",TRAGHETTO 4577,CN4577
17,"CASTELLO,1725",CASTELLO 1725,CA1725
19,"CANNAREGIO,1632/A",ROMANTIC,CN1632A
20,"CANNAREGIO,328",CANNAREGIO 328,CN328
21,"CANNAREGIO,4432",CA' APOSTOLI,CN4432
22,"CASTELLO,2579","CA' BIENNALE, SCOPRIRE LA VENEZIA NASCOSTA",CA2579
23,"CANNAREGIO,3475",CA' LUCIA,CN3475
24,"CANNAREGIO,5211",MONICA REGINE,CN5211
25,"CASTELLO,2712/D",ARSENALE LOFT,CA2712D
26,"CASTELLO,2712/D",CA’ RANIERI TENTI,CA2712D
27,"CASTELLO,1414",CASTELLO 1414,CA1414
28,"CASTELLO,1609",ALLOGGIO LOCAZIONE TURISTICA,CA1609
29,"CANNAREGIO,87",GIULIETTA E ROMEO,CN87
32,"CANNAREGIO,645",CANNAREGIO 645 - PINK APARTMENT,CN645
33,"CANNAREGIO,6029",SANTA MARIA NOVA,CN6029
34,"CANNAREGIO,4621",CANNAREGIO 4621,CN4621
35,"CANNAREGIO,4119",CÃ Â  VIRGINIA,CN4119
36,"CANNAREGIO,1344/B",CASA SIMONE MAZZONI,CN1344B
37,"CANNAREGIO,2949/F",APPARTAMENTO,CN2949F
39,"CANNAREGIO,2819",CESARE DAMIANO,CN2819
40,"CANNAREGIO,2201/A",CANNAREGIO2201A,CN2201A
41,"CANNAREGIO,2898",CA ANTICA SINAGOGA,CN2898
42,"CANNAREGIO,4438",PALAZZI DESIGN SRL,CN4438
43,"CANNAREGIO,4438",MEZZANINO 4438,CN4438
44,"CASTELLO,3275",ATELIER,CA3275
45,"CASTELLO,1525",BIENNALE GUEST HOUSE,CA1525
47,"CANNAREGIO,6350",PISCIUTTA,CN6350
48,"CANNAREGIO,5908",ZAMO' TERRACE,CN5908
49,"CANNAREGIO,1863/D",CORTELOREDANA5,CN1863D
50,"CANNAREGIO,4024",VALENTINO HOME,CN4024
51,"CANNAREGIO,2249",SERAFIN,CN2249
52,"CANNAREGIO,2452",CA' DINO VENICE APARTMENT,CN2452
53,"CASTELLO,2156/A",RESIDENZA GIULIA,CA2156A
54,"CANNAREGIO,6406",BRAGOZZO,CN6406
55,"CANNAREGIO,6406",PUPARIN,CN6406
56,"CANNAREGIO,6406",MASCARETA,CN6406
57,"CANNAREGIO,6406",SANDOLO,CN6406
58,"CANNAREGIO,5019/A",APPARTAMENTO CANNAREGIO 5019A,CN5019A
59,"CANNAREGIO,4708",R. HOUSE CANAL 2 (CANAREGGIO),CN4708
60,"CANNAREGIO,386",IL GIARDINO DI ANNA- N.4,CN386
61,"CANNAREGIO,386",IL GIARDINO DI ANNA-N6,CN386
62,"CASTELLO,3120",CA VALLO,CA3120
63,"CANNAREGIO,5281",CASA DI SAM,CN5281
64,"CANNAREGIO,2198",CA' TIZIANO PIANO NOBILE,CN2198
65,"CANNAREGIO,2198",CA DI RIVA,CN2198
66,"CANNAREGIO,4141",MELUSINA ALTANA,CN4141
67,"CANNAREGIO,4141",CA ZANARDI,CN4141
69,"CASTELLO,1154",VENICE-BIENNALE,CA1154
70,"CASTELLO,3265",NEUGEBAUER FIONA JAYNE LEE,CA3265
71,"CANNAREGIO,4866",APPARTAMENTO LAGUNA ROMANTICA,CN4866
72,"CANNAREGIO,4866",CA LUDOVICA,CN4866
73,"CANNAREGIO,4569",THE GREEN NOOK,CN4569
74,"CANNAREGIO,5326/A",CA FIORELLA,CN5326A
75,"CANNAREGIO,986/A",LA MAISONETTE,CN986A
76,"CASTELLO,2156",LOCAZIONE TURISITCA,CA2156
77,"CASTELLO,2663",CASA DEI DOGI 1,CA2663
78,"CANNAREGIO,1131",APPARTAMENTO,CN1131
79,"CANNAREGIO,3227",RELAX GARDEN HOME,CN3227
80,"CANNAREGIO,3227",FONDAMENTA DE LA SENSA,CN3227
81,"CANNAREGIO,3227",SOGNO VENEZIANO,CN3227
82,"CASTELLO,2888",APPARTAMENTO AI  TEMPLARI,CA2888
84,"CANNAREGIO,5877",AL MALIBRAN,CN5877
85,"CANNAREGIO,4347",BOSCOLO RAFFAELLA,CN4347
86,"CANNAREGIO,5516",WENDY LUXURY APARTMENT,CN5516
87,"CASTELLO,1882",C&C BIENNALE APARTMENT 1882,CA1882
88,"CASTELLO,3219",CASETTA DI FOSCOLO,CA3219
89,"CANNAREGIO,990",CA D'ORO,CN990
91,"CASTELLO,3061",BIENNALE DESIGN APARTMENT R&R,CA3061
92,"CASTELLO,3061",BIENNALE SUPERIOR APARTMENT R&R,CA3061
93,"CASTELLO,1908",CA' DELLA PACE,CA1908
95,"CANNAREGIO,2537",APPARTAMENTO PARADISO 1,CN2537
96,"CANNAREGIO,2537",APPARTAMENTO CHIARO ANNA,CN2537
97,"CANNAREGIO,5774",CA' PONTE VECCHIO,CN5774
98,"CANNAREGIO,5403",RESIDENZA A PALAZZO WIDMANN,CN5403
99,"CANNAREGIO,150",CA GEREMIA,CN150
100,"CANNAREGIO,4105",CA D'ORO APARTMENT,CN4105
101,"CANNAREGIO,5741",CA DADDA,CN5741
102,"CANNAREGIO,1234",LA GUGLIA,CN1234
103,"CANNAREGIO,3314/D",APPARTAMENTO LOREDAN,CN3314D
104,"CANNAREGIO,2566",CA' LETIZIA,CN2566
105,"CANNAREGIO,5376",FAVARETTI,CN5376
106,"CASTELLO,4002",CASA DOGE ERIZZO,CA4002
107,"CASTELLO,1102",CA' EMMA,CA1102
112,"CANNAREGIO,4241/A",GRAZIOSO APPARTAMENTO CA' D'ORO,CN4241A
113,"CANNAREGIO,4241/A",APPARTAMENTO GRAZIOSO,CN4241A
114,"CANNAREGIO,558/B",CA' BELLAVISTA,CN558B
115,"CANNAREGIO,1003",SERGIO GALLOZZI,CN1003
116,"CASTELLO,329/A",LA CASA DI CHIARA,CA329A
118,"CASTELLO,1913",CA' DI PAOLO,CA1913
120,"CASTELLO,3047",CASA CORTELAZZI,CA3047
121,"CASTELLO,1993",COLOMBINA 1993,CA1993
122,"CASTELLO,2175",LA CASA DEL MERCANTE VENEZIANO,CA2175
123,"CASTELLO,2013",CA- ANNA BIENNALE VENEZIA,CA2013
124,"CASTELLO,3267",APPARTAMENTO FURLANI 1,CA3267
125,"CASTELLO,3267",FURLANI 1,CA3267
126,"CASTELLO,3267",APPARTAMENTO FURLANI 2,CA3267
127,"CANNAREGIO,1667/A",CANAL GRANDE DELUXE,CN1667A
131,"CASTELLO,179",THE OTHER SERENISSIMA,CA179
132,"CASTELLO,179",FAMILY APARTMENT BIENNALE VENICE,CA179
133,"CANNAREGIO,260",APPARTAMENTO 2,CN260
134,"CANNAREGIO,5705",CA GIULIA 5705,CN5705
135,"CASTELLO,1812",BIENNALE'S TIME MACHINE,CA1812
137,"CASTELLO,2578",ARSENALE,CA2578
138,"CASTELLO,269/A",CA' DEL BIANCO INT 3,CA269A
139,"CANNAREGIO,2591",CA' LONGO PALACE VELLUTO APARTMENT,CN2591
140,"CANNAREGIO,5201",FONDAMENTE NOVE 2,CN5201
141,"CASTELLO,2560",CASTELLO 2560,CA2560
142,"CANNAREGIO,2013/B",SAN MARCUOLA,CN2013B
143,"CASTELLO,2900",2900,CA2900
144,"CANNAREGIO,2484",DA FUICI,CN2484
145,"CANNAREGIO,2484",FOSCA,CN2484
146,"CANNAREGIO,2484",SAN MARZIALE,CN2484
147,"CANNAREGIO,987",APPARTAMENTO CARBONCINA,CN987
150,"CANNAREGIO,487",CA DO CORTI,CN487
151,"CANNAREGIO,3425",THE DOGE'S HIDEAWAY,CN3425
152,"CASTELLO,1015",CASTELLO 1015,CA1015
153,"CASTELLO,1015",FRANCESCO VIANELLO,CA1015
154,"LUNGOMARE GUGLIELMO MARCONI,29",VILLA MIRALONDA,X_LUNGOMARE GUGLIELMO MARCONI29
155,"CASTELLO,1430",MARINARESSA-BIENNALE-CANAL S.MARCO,CA1430
156,"CASTELLO,2669",CASA DO POZZI,CA2669
157,"CANNAREGIO,3608",IL SOGNO DI ELENA,CN3608
159,"CANNAREGIO,3607/F",SAN FELICE 2,CN3607F
160,"CANNAREGIO,3607/F",SAN FELICE 1,CN3607F
161,"CANNAREGIO,4576/A",CA'RIZZI,CN4576A
162,"CANNAREGIO,4576/A",AL CAMPO,CN4576A
163,"CANNAREGIO,3225",AVENEZIA 2,CN3225
166,"CANNAREGIO,3401",DAVIDE PIOVESAN,CN3401
167,"CANNAREGIO,1888",GIRASOLE,CN1888
168,"CASTELLO,2871",CITADELLE,CA2871
169,"CASTELLO,2871",QUARTO DO FILIPE,CA2871
170,"CASTELLO,2871",SWEET SUITE,CA2871
171,"CANNAREGIO,5431",CA'DEL CILIEGIO,CN5431
172,"CANNAREGIO,2124",APPARTAMENTO 1,CN2124
173,"CASTELLO,2545",DUE POZZI,CA2545
174,"CANNAREGIO,3314",BUFFOLI-BONOMELLI,CN3314
175,"CANNAREGIO,4920",GESUITI APPARTMENT,CN4920
177,"CANNAREGIO,6137",CA MALVASIA,CN6137
178,"CASTELLO,338/A",APPARTAMENTO BIENNALE 24,CA338A
179,"CASTELLO,1720",VENETIAN ROOF VIEW,CA1720
180,"CANNAREGIO,3783",CA' DORÈ 2,CN3783
181,"CASTELLO,3114",ACQUAMARINA TERRACE,CA3114
182,"CASTELLO,2615",CA' DO POZZI,CA2615
183,"CANNAREGIO,1414/A",ANTICO PORTEGO (SUB 3),CN1414A
184,"CANNAREGIO,1414/A",ANTICO PORTEGO (SUB 15),CN1414A
186,"CASTELLO,1065",ANGUILLARI,CA1065
187,"CASTELLO,1065",BIENNALE STUDIO,CA1065
188,"CANNAREGIO,4749",CA' DE LA FONTE 2,CN4749
189,"CANNAREGIO,4749",CA' DE LA FONTE 1,CN4749
191,"CANNAREGIO,2358",CANNAREGIO 2358,CN2358
192,"CANNAREGIO,6237",CA' DELLA TESTA,CN6237
193,"CANNAREGIO,790",SAN GIOBBE APARTMENT,CN790
194,"CASTELLO,3463",CA' SALVIONI,CA3463
195,"CASTELLO,302",APPARTAMENTO SALINI II,CA302
196,"CANNAREGIO,1880",VENICE RESIDENCE TEATRO ITALIA,CN1880
197,"CANNAREGIO,1135",GUGLIE,CN1135
198,"CANNAREGIO,5503/A",GIOVANNA ASTORRI,CN5503A
201,"CANNAREGIO,2952/B",AL PONTE DEL BATELO,CN2952B
202,"CASTELLO,1053",CASADELDESIGNER VENEZIA,CA1053
203,"CANNAREGIO,6367",MIMOSA LUXURY,CN6367
204,"CANNAREGIO,6367",BELLINI DESIGN,CN6367
205,"CANNAREGIO,6091",CA' MEZZA',CN6091
206,"CANNAREGIO,6091",CA' NOBILE,CN6091
207,"CANNAREGIO,97/C",CASA CAVALETI,CN97C
208,"CASTELLO,32/A",CAROLINA,CA32A
