EANL_Tipo_impianto,Cat_Tariffa,Nuclei_domestici,Nuclei_commerciali,Nuclei_non_residenti,Condominio,Componenti,Località,ProccessedVia,ProcessedAddress,Consumo_medio_2020,Consumo_medio_2021,Consumo_medio_2022,Consumo_medio_2023,Consumo_medio_2024
1200,Uso domestico non residente,1.0,,,,,VENEZIA,CS,CS3624,16.07,16.07,17.23,19.78,16.58
1200,Uso domestico non residente,1.0,,,,,VENEZIA,CS,CS2684,0.08,0.08,0.0,0.0,0.0
1200,Uso domestico non residente,1.0,,,,,VENEZIA,CS,CS4082,1.32,1.32,1.32,0.72,0.48
1200,Uso domestico non residente,1.0,,,,,VENEZIA,CS,CS3626,1.1,1.1,1.01,0.67,0.58
1200,Uso domestico non residente,1.0,,,,,VENEZIA,CS,CS4084,4.49,4.49,1.98,2.83,4.49
1200,Uso domestico non residente,3.0,,,X,,VENEZIA,CS,CS4084,3.93,3.93,1.28,1.62,3.73
1200,Uso domestico non residente,1.0,,,,,VENEZIA,GD,GD95U,4.11,4.11,3.0,0.82,0.17
1200,Uso domestico non residente,1.0,,,,,VENEZIA,GD,GD95U,0.0,0.0,0.0,0.0,0.91
1200,Uso domestico non residente,1.0,,,,,VENEZIA,CS,CS999,2.64,2.64,6.55,10.4,17.97
12NR,Uso domestico non residente,1.0,,,,,VENEZIA,GD,GD95V,5.37,5.37,1.77,5.77,5.88
1200,Uso domestico non residente,1.0,,,,,VENEZIA,CS,CS2684,0.15,0.15,0.0,0.0,0.0
1200,Uso domestico non residente,1.0,,,,,VENEZIA,CS,CS3385I,0.14,0.14,0.0,0.0,2.17
1200,Uso domestico non residente,1.0,,,,,VENEZIA,GD,GD95Z,2.22,2.22,1.0,1.07,1.62
1200,Uso domestico non residente,1.0,,,,,VENEZIA,CS,CS3627A,0.0,0.0,7.58,18.12,18.0
1200,Uso domestico non residente,1.0,,,,,VENEZIA,CS,CS2715,2.05,2.05,2.0,3.52,4.58
1200,Uso domestico non residente,1.0,,,,,VENEZIA,CS,CS3351,18.38,18.38,17.18,18.0,12.63
1200,Uso domestico non residente,1.0,,,,,VENEZIA,CS,CS999A,4.01,4.01,4.6,6.13,5.53
1200,Uso domestico non residente,1.0,,,,,VENEZIA,CS,CS3628,8.9,8.9,0.0,0.0,0.72
1200,Uso domestico non residente,1.0,,,,,VENEZIA,CS,CS999A,6.42,6.42,2.06,5.54,7.19
1200,Uso domestico non residente,1.0,,,,,VENEZIA,CS,CS3633,11.44,11.44,0.0,3.09,4.25
1200,Uso domestico non residente,1.0,,,,,VENEZIA,CS,CS1005,0.36,0.36,0.1,0.0,10.83
,Uso domestico non residente,1.0,,,,,VENEZIA,GD,GD96,52.03,52.03,41.01,16.81,20.93
1200,Uso domestico non residente,1.0,,,,,VENEZIA,CS,CS2787,0.0,0.0,1.9,3.82,7.5
1200,Uso domestico non residente,1.0,,,,,VENEZIA,CS,CS4243,0.0,0.0,1.81,0.66,2.04
,Uso domestico non residente,1.0,,,,,VENEZIA,GD,GD100,99999.0,99999.0,0.0,6.94,7.09
12NR,Uso domestico non residente,1.0,,,,,VENEZIA,CS,CS1011,0.44,0.44,1.46,0.33,13.41
12NR,Uso domestico non residente,1.0,,,,,VENEZIA,CS,CS1012,1.11,1.11,0.04,0.44,0.29
1200,Uso domestico non residente,1.0,,,,,VENEZIA,CS,CS1015,1.61,1.61,5.41,6.5,4.43
1200,Uso domestico non residente,1.0,,,,,VENEZIA,CS,CS1015,0.64,0.64,0.54,0.87,0.47
12NR,Uso domestico non residente,1.0,,,,,VENEZIA,CS,CS1015,0.0,0.0,0.0,1.26,0.15
1200,Uso domestico non residente,1.0,,,,,VENEZIA,CS,CS2715,2.48,2.48,0.86,0.34,0.33
1200,Uso domestico non residente,1.0,,,,,VENEZIA,CS,CS4243,3.63,3.63,0.57,0.49,1.82
1200,Uso domestico non residente,1.0,,,,,VENEZIA,CS,CS1015,2.57,2.57,0.65,0.43,1.71
1200,Uso domestico non residente,1.0,,,,,VENEZIA,CS,CS1016,4.39,4.39,2.98,0.09,0.54
1200,Uso domestico non residente,1.0,,,,,VENEZIA,CS,CS1034,2.86,2.86,0.65,1.8,3.85
