short_alias,Number of Floors,Floors,floors_est,floor_error,floor_error_observed,Number of Doorbells,units_est_meters,units_error_meters,units_est_volume,units_error_volume,units_est_merged,units_error_merged
GHET-007,5,,5,0,0.0,8,6,-2,0,-8,3,-5
GHET-018,6,,5,-1,-1.0,11,15,4,20,9,24,13
GHET-019,7,,5,-2,-2.0,1,0,-1,19,18,15,14
GHET-020,4,,4,0,0.0,8,18,10,0,-8,10,2
GHET-022,5,,5,0,0.0,5,7,2,13,8,9,4
GHET-022,4,,5,1,1.0,0,7,7,13,13,9,9
GHET-023,6,,5,-1,-1.0,5,4,-1,13,8,7,2
GHET-024,5,,5,0,0.0,5,12,7,0,-5,7,2
GHET-025,1,,4,3,3.0,0,0,0,0,0,0,0
MELO-001,4,5.0,4,0,-1.0,8,0,-8,7,-1,3,-5
MELO-002,3,5.0,3,0,-2.0,4,2,-2,4,0,3,-1
MELO-003,4,0.0,4,0,4.0,3,4,1,3,0,4,1
MELO-004,3,0.0,4,1,4.0,2,3,1,2,0,3,1
MELO-005,4,4.0,4,0,0.0,3,3,0,2,-1,3,0
MELO-006,4,4.0,4,0,0.0,4,1,-3,2,-2,1,-3
MELO-007,4,3.0,4,0,1.0,6,4,-2,2,-4,4,-2
MELO-012,5,3.0,4,-1,1.0,3,4,1,10,7,7,4
MELO-013,4,4.0,4,0,0.0,1,0,-1,0,-1,0,-1
MELO-014,4,4.0,4,0,0.0,5,0,-5,0,-5,0,-5
MELO-015,4,3.0,4,0,1.0,7,0,-7,0,-7,0,-7
MELO-016,4,3.0,4,0,1.0,2,1,-1,11,9,9,7
MELO-017,5,4.0,5,0,1.0,17,12,-5,16,-1,18,1
MELO-018,4,4.0,5,1,1.0,13,0,-13,0,-13,0,-13
MELO-019,2,0.0,3,1,3.0,2,1,-1,2,0,1,-1
MELO-020,3,3.0,4,1,1.0,3,2,-1,2,-1,2,-1
MELO-021,4,0.0,4,0,4.0,3,5,2,3,0,4,1
MELO-022,4,4.0,5,1,1.0,0,0,0,3,3,2,2
MELO-023,5,4.0,5,0,1.0,4,0,-4,0,-4,0,-4
