short_alias,TP_CLS_ED,Qu_Gronda,Qu_Terra,Superficie,Measured Height,Floors
MELO-001,C,17.33,0.85,184.63,16.4,5
MELO-002,C,0,0.85,198.67,14.2,5
MELO-003,Nd,3.18,0.85,24.26,,
MELO-004,C,23,1.15,1159.52,,
MELO-005,Bg,9999,0.95,37299.77,11.3,4
MELO-006,fa,14.49,0.95,191.41,12.6,4
MELO-007,B,9999,0.95,55.41,9.1,3
MELO-008,pt,9.48,0.85,91.68,6.8,2
MELO-009,A,13.19,0.95,38.28,12.1,4
MELO-010,A1,9999,0.95,37198.49,12.1,4
MELO-011,B,14.04,0.85,61.42,12.8,4
MELO-012,C,13.27,1.05,342.78,12.3,3
MELO-013,C,18.78,0.95,622.81,15,4
MELO-014,D,12.37,0.95,73.27,9.6,4
MELO-015,C,13.15,1.05,246.72,11.2,3
MELO-016,pt,10.26,1.05,174.92,9.2,3
MELO-017,B,0,1.05,83.31,11.8,4
MELO-018,B,0,0,62.43,13.2,4
MELO-019,Ne,13.27,1.05,204.57,,
MELO-020,B,0,0,74.59,10,3
MELO-021,B,0,0,90,,
MELO-022,B,0,0,53.23,12.9,4
MELO-023,B,0,0,87.54,12.9,4
MELO-024,A,14.91,0.95,47.4,12,4
MELO-025,A1,13.56,0.95,57.55,12.8,4
MELO-026,A,13.33,0.95,58.84,12.8,4
MELO-027,pt,13,0.95,80.95,11.3,3
MELO-028,pt,9999,0.95,37407.71,,
MELO-029,,15.8,0.85,71.99,,
MELO-030,B,12.65,0.85,238.74,,
MELO-031,D,15.54,0.85,267.14,,
MELO-032,,0,0.85,34.31,,
MELO-033,Bg,0,0,49.59,,
MELO-034,,16.5,0.85,132.56,,
MELO-035,B,16.38,0.85,70.09,,
MELO-036,B,9999,0.95,37547.79,,
MELO-037,B,0,0,47.25,,
MELO-038,B,17.5,0.85,118.03,,
MELO-039,C,15,0.85,415.9,,
MELO-040,pt,15.4,0.85,179.77,,
MELO-041,,15.4,0.85,195.34,,
MELO-042,C,18.95,0.85,383.42,14.2,4
MELO-043,C,19,0.85,372.47,17.5,6
MELO-044,C,16.92,0.85,327.32,17.3,5
MELO-045,B,0,0,50.69,12,4
MELO-046,Bg,0,0,51.42,12,4
MELO-047,Bg,13.08,0.95,61.03,12,4
MELO-048,Bg,9999,0.95,37142.51,16.4,5
MELO~NO_BUILDING,,,,,,
