geometry,DENOMINAZIONE_STRUTTURA,RAGIONE_SOCIALE,INDIRIZZO,SITOWEB,TIPOLOGIA_STRUTTURA,TIPO_STRUTTURA,CLASSIFICAZIONE,TELEFONO,INDIRIZZO_EMAIL,ZONA_IDS,PERCENTUALE_RIDUZIONE,NUMERO_STANZE,NUMERO_LETTI
"X: 1372722.63271536, Y: 5690752.36585614, Z: NaN",PONTE STORTO,PUBBLICAZIONE DATO NON AUTORIZZATA,"SAN POLO,1502",PUBBLICAZIONE DATO NON AUTORIZZATA,LOCAZIONI TURISTICHE,LOCAZIONI TURISTICHE ART.27 BIS L.R.V. 11/2013,CLASSE UNICA,PUBBLICAZIONE DATO NON AUTORIZZATA,PUBBLICAZIONE DATO NON AUTORIZZATA,CENTRO STORICO,0,1,2
"X: 1372834.79977578, Y: 5691065.41344809, Z: NaN",RIALTO TOWER,PUBBLICAZIONE DATO NON AUTORIZZATA,"SAN POLO,1843",PUBBLICAZIONE DATO NON AUTORIZZATA,LOCAZIONI TURISTICHE,LOCAZIONI TURISTICHE ART.27 BIS L.R.V. 11/2013,CLASSE UNICA,PUBBLICAZIONE DATO NON AUTORIZZATA,PUBBLICAZIONE DATO NON AUTORIZZATA,CENTRO STORICO,0,1,2
"X: 1372411.67472625, Y: 5690669.52946823, Z: NaN",SOPHISTICATED HIDEAWAY IN SAN POLO,PUBBLICAZIONE DATO NON AUTORIZZATA,"SAN POLO,2652",PUBBLICAZIONE DATO NON AUTORIZZATA,LOCAZIONI TURISTICHE,LOCAZIONI TURISTICHE ART.27 BIS L.R.V. 11/2013,CLASSE UNICA,PUBBLICAZIONE DATO NON AUTORIZZATA,PUBBLICAZIONE DATO NON AUTORIZZATA,CENTRO STORICO,0,6,4
"X: 1372171.23812782, Y: 5690745.10903433, Z: NaN",WHITEFRARI,PUBBLICAZIONE DATO NON AUTORIZZATA,"SAN POLO,2476",PUBBLICAZIONE DATO NON AUTORIZZATA,LOCAZIONI TURISTICHE,LOCAZIONI TURISTICHE ART.27 BIS L.R.V. 11/2013,CLASSE UNICA,PUBBLICAZIONE DATO NON AUTORIZZATA,PUBBLICAZIONE DATO NON AUTORIZZATA,CENTRO STORICO,0,2,4
"X: 1372150.20065957, Y: 5690458.05908248, Z: NaN",SANPOLO 3024 PIANO 2,PUBBLICAZIONE DATO NON AUTORIZZATA,"SAN POLO,3024",PUBBLICAZIONE DATO NON AUTORIZZATA,LOCAZIONI TURISTICHE,LOCAZIONI TURISTICHE ART.27 BIS L.R.V. 11/2013,CLASSE UNICA,PUBBLICAZIONE DATO NON AUTORIZZATA,PUBBLICAZIONE DATO NON AUTORIZZATA,CENTRO STORICO,0,4,6
"X: 1372150.20065957, Y: 5690458.05908248, Z: NaN",SANPOLO 3024 PIANO 3,PUBBLICAZIONE DATO NON AUTORIZZATA,"SAN POLO,3024",PUBBLICAZIONE DATO NON AUTORIZZATA,LOCAZIONI TURISTICHE,LOCAZIONI TURISTICHE ART.27 BIS L.R.V. 11/2013,CLASSE UNICA,PUBBLICAZIONE DATO NON AUTORIZZATA,PUBBLICAZIONE DATO NON AUTORIZZATA,CENTRO STORICO,0,2,4
"X: 1372510.01241701, Y: 5690675.67264584, Z: NaN",SAN POLO CANAL VIEW,PUBBLICAZIONE DATO NON AUTORIZZATA,"SAN POLO,2124",PUBBLICAZIONE DATO NON AUTORIZZATA,LOCAZIONI TURISTICHE,LOCAZIONI TURISTICHE ART.27 BIS L.R.V. 11/2013,CLASSE UNICA,PUBBLICAZIONE DATO NON AUTORIZZATA,PUBBLICAZIONE DATO NON AUTORIZZATA,CENTRO STORICO,0,1,3
"X: 1372510.01241701, Y: 5690675.67264584, Z: NaN",PALAZZINA SAN POLO,PUBBLICAZIONE DATO NON AUTORIZZATA,"SAN POLO,2124",PUBBLICAZIONE DATO NON AUTORIZZATA,LOCAZIONI TURISTICHE,LOCAZIONI TURISTICHE ART.27 BIS L.R.V. 11/2013,CLASSE UNICA,PUBBLICAZIONE DATO NON AUTORIZZATA,PUBBLICAZIONE DATO NON AUTORIZZATA,CENTRO STORICO,0,3,6
"X: 1372510.01241701, Y: 5690675.67264584, Z: NaN",SANPOLO,PUBBLICAZIONE DATO NON AUTORIZZATA,"SAN POLO,2124",PUBBLICAZIONE DATO NON AUTORIZZATA,LOCAZIONI TURISTICHE,LOCAZIONI TURISTICHE ART.27 BIS L.R.V. 11/2013,CLASSE UNICA,PUBBLICAZIONE DATO NON AUTORIZZATA,PUBBLICAZIONE DATO NON AUTORIZZATA,CENTRO STORICO,0,1,2
"X: 1372147.81759122, Y: 5690453.9175214, Z: NaN",GARDEN VIEW,PUBBLICAZIONE DATO NON AUTORIZZATA,"SAN POLO,3024/A    ",PUBBLICAZIONE DATO NON AUTORIZZATA,LOCAZIONI TURISTICHE,LOCAZIONI TURISTICHE ART.27 BIS L.R.V. 11/2013,CLASSE UNICA,PUBBLICAZIONE DATO NON AUTORIZZATA,PUBBLICAZIONE DATO NON AUTORIZZATA,CENTRO STORICO,0,2,4
