geometry,DENOMINAZIONE_STRUTTURA,RAGIONE_SOCIALE,INDIRIZZO,SITOWEB,TIPOLOGIA_STRUTTURA,TIPO_STRUTTURA,CLASSIFICAZIONE,TELEFONO,INDIRIZZO_EMAIL,ZONA_IDS,PERCENTUALE_RIDUZIONE,NUMERO_STANZE,NUMERO_LETTI
"X: 1372765.10440439, Y: 5690991.98204802, Z: NaN",SOGNO DI GIULIETTA E ROMEO,PUBBLICAZIONE DATO NON AUTORIZZATA,"SAN POLO,1858",PUBBLICAZIONE DATO NON AUTORIZZATA,ALBERGHI-ALBERGHI DIFFUSI,STRUTTURE RICETTIVE ALBERGHIERE,3 STELLE SUPERIOR,PUBBLICAZIONE DATO NON AUTORIZZATA,PUBBLICAZIONE DATO NON AUTORIZZATA,CENTRO STORICO,0,9,14
"X: 1372197.94916207, Y: 5690415.94505246, Z: NaN",HOTEL CASAW,PUBBLICAZIONE DATO NON AUTORIZZATA,"SAN POLO,2910/A    ",PUBBLICAZIONE DATO NON AUTORIZZATA,ALBERGHI-ALBERGHI DIFFUSI,STRUTTURE RICETTIVE ALBERGHIERE,3 STELLE SUPERIOR,PUBBLICAZIONE DATO NON AUTORIZZATA,PUBBLICAZIONE DATO NON AUTORIZZATA,CENTRO STORICO,0,19,37
"X: 1373048.10621014, Y: 5690702.47279237, Z: NaN",LOCANDA STURION,ROFRA SRL,"SAN POLO,679",PUBBLICAZIONE DATO NON AUTORIZZATA,ALBERGHI-ALBERGHI DIFFUSI,STRUTTURE RICETTIVE ALBERGHIERE,3 STELLE,0415236243     ,info@locandasturion.com,CENTRO STORICO,0,11,23
"X: 1372483.78539293, Y: 5690782.78742489, Z: NaN",HOTEL ACCA,PUBBLICAZIONE DATO NON AUTORIZZATA,"SAN POLO,2160",PUBBLICAZIONE DATO NON AUTORIZZATA,ALBERGHI-ALBERGHI DIFFUSI,STRUTTURE RICETTIVE ALBERGHIERE,3 STELLE,PUBBLICAZIONE DATO NON AUTORIZZATA,PUBBLICAZIONE DATO NON AUTORIZZATA,CENTRO STORICO,0,0,0
"X: 1373139.02281333, Y: 5690714.94999897, Z: NaN",HOTEL MARCONI,PUBBLICAZIONE DATO NON AUTORIZZATA,"SAN POLO,729",PUBBLICAZIONE DATO NON AUTORIZZATA,ALBERGHI-ALBERGHI DIFFUSI,STRUTTURE RICETTIVE ALBERGHIERE,3 STELLE,PUBBLICAZIONE DATO NON AUTORIZZATA,PUBBLICAZIONE DATO NON AUTORIZZATA,CENTRO STORICO,0,26,47
"X: 1373059.70170301, Y: 5690653.76312809, Z: NaN",H10 PALAZZO CANOVA,VENETO HOTELS SRL,"SAN POLO,743",PUBBLICAZIONE DATO NON AUTORIZZATA,ALBERGHI-ALBERGHI DIFFUSI,STRUTTURE RICETTIVE ALBERGHIERE,4 STELLE SUPERIOR,0415200172     ,manager.hpc@h10hotels.com,CENTRO STORICO,0,61,146
"X: 1372226.1018596, Y: 5690365.43513203, Z: NaN",PALAZZETTO MADONNA,PUBBLICAZIONE DATO NON AUTORIZZATA,"SAN POLO,2902",PUBBLICAZIONE DATO NON AUTORIZZATA,ALBERGHI-ALBERGHI DIFFUSI,STRUTTURE RICETTIVE ALBERGHIERE,4 STELLE,PUBBLICAZIONE DATO NON AUTORIZZATA,PUBBLICAZIONE DATO NON AUTORIZZATA,CENTRO STORICO,0,15,32
"X: 1373059.16814905, Y: 5690687.53961936, Z: NaN",BOUTIQUE HOTEL RIVA DEL VIN,PUBBLICAZIONE DATO NON AUTORIZZATA,"SAN POLO,677/A    ",PUBBLICAZIONE DATO NON AUTORIZZATA,ALBERGHI-ALBERGHI DIFFUSI,STRUTTURE RICETTIVE ALBERGHIERE,3 STELLE SUPERIOR,PUBBLICAZIONE DATO NON AUTORIZZATA,PUBBLICAZIONE DATO NON AUTORIZZATA,CENTRO STORICO,0,19,27
"X: 1372928.9758946, Y: 5691098.87195746, Z: NaN",HOTEL OROLOGIO VENEZIA,PUBBLICAZIONE DATO NON AUTORIZZATA,"SAN POLO,1777",PUBBLICAZIONE DATO NON AUTORIZZATA,ALBERGHI-ALBERGHI DIFFUSI,STRUTTURE RICETTIVE ALBERGHIERE,4 STELLE SUPERIOR,PUBBLICAZIONE DATO NON AUTORIZZATA,PUBBLICAZIONE DATO NON AUTORIZZATA,CENTRO STORICO,0,43,86
"X: 1373082.24533055, Y: 5690957.73077535, Z: NaN",ALBERGO GUERRATO,PUBBLICAZIONE DATO NON AUTORIZZATA,"SAN POLO,240/A    ",PUBBLICAZIONE DATO NON AUTORIZZATA,ALBERGHI-ALBERGHI DIFFUSI,STRUTTURE RICETTIVE ALBERGHIERE,1 STELLA,PUBBLICAZIONE DATO NON AUTORIZZATA,PUBBLICAZIONE DATO NON AUTORIZZATA,CENTRO STORICO,0,12,25
