geometry,DENOMINAZIONE_STRUTTURA,RAGIONE_SOCIALE,INDIRIZZO,SITOWEB,TIPOLOGIA_STRUTTURA,TIPO_STRUTTURA,CLASSIFICAZIONE,TELEFONO,INDIRIZZO_EMAIL,ZONA_IDS,PERCENTUALE_RIDUZIONE,NUMERO_STANZE,NUMERO_LETTI
"X: 1371746.03007144, Y: 5690931.25766172, Z: NaN",HOTEL CARLTON CAPRI,PUBBLICAZIONE DATO NON AUTORIZZATA,"SANTA CROCE,595/A    ",PUBBLICAZIONE DATO NON AUTORIZZATA,ALBERGHI-ALBERGHI DIFFUSI,STRUTTURE RICETTIVE ALBERGHIERE,3 STELLE,PUBBLICAZIONE DATO NON AUTORIZZATA,PUBBLICAZIONE DATO NON AUTORIZZATA,CENTRO STORICO,0,37,70
"X: 1371912.70716424, Y: 5690368.01647496, Z: NaN",AC HOTEL VENEZIA,PR VENEZIA SRL,"PONTE SAN PANTALON,1",PUBBLICAZIONE DATO NON AUTORIZZATA,ALBERGHI-ALBERGHI DIFFUSI,STRUTTURE RICETTIVE ALBERGHIERE,3 STELLE,0418520321     ,v.nardo@achotel-venezia.com,CENTRO STORICO,0,79,158
"X: 1371944.90110566, Y: 5691199.39670816, Z: NaN",DEPENDENCE AI DUE FANALI,PUBBLICAZIONE DATO NON AUTORIZZATA,"SANTA CROCE,946",PUBBLICAZIONE DATO NON AUTORIZZATA,ALBERGHI-ALBERGHI DIFFUSI,STRUTTURE RICETTIVE ALBERGHIERE,3 STELLE,PUBBLICAZIONE DATO NON AUTORIZZATA,PUBBLICAZIONE DATO NON AUTORIZZATA,CENTRO STORICO,0,16,25
"X: 1371893.52929742, Y: 5691271.54633933, Z: NaN",HOTEL CANAL GRANDE,PUBBLICAZIONE DATO NON AUTORIZZATA,"SANTA CROCE,932",PUBBLICAZIONE DATO NON AUTORIZZATA,ALBERGHI-ALBERGHI DIFFUSI,STRUTTURE RICETTIVE ALBERGHIERE,4 STELLE,PUBBLICAZIONE DATO NON AUTORIZZATA,PUBBLICAZIONE DATO NON AUTORIZZATA,CENTRO STORICO,0,15,24
"X: 1371573.05100211, Y: 5690915.23869259, Z: NaN",HOTEL WALTER,PUBBLICAZIONE DATO NON AUTORIZZATA,"SANTA CROCE,240",PUBBLICAZIONE DATO NON AUTORIZZATA,ALBERGHI-ALBERGHI DIFFUSI,STRUTTURE RICETTIVE ALBERGHIERE,2 STELLE,PUBBLICAZIONE DATO NON AUTORIZZATA,PUBBLICAZIONE DATO NON AUTORIZZATA,CENTRO STORICO,0,11,21
"X: 1371573.05100211, Y: 5690915.23869259, Z: NaN",HOTEL WALTER,PUBBLICAZIONE DATO NON AUTORIZZATA,"SANTA CROCE,240",PUBBLICAZIONE DATO NON AUTORIZZATA,ALBERGHI-ALBERGHI DIFFUSI,STRUTTURE RICETTIVE ALBERGHIERE,2 STELLE,PUBBLICAZIONE DATO NON AUTORIZZATA,PUBBLICAZIONE DATO NON AUTORIZZATA,CENTRO STORICO,0,11,21
"X: 1371705.65072884, Y: 5690742.51903892, Z: NaN",ALBERGO AI TOLENTINI,PUBBLICAZIONE DATO NON AUTORIZZATA,"SANTA CROCE,197/G    ",PUBBLICAZIONE DATO NON AUTORIZZATA,ALBERGHI-ALBERGHI DIFFUSI,STRUTTURE RICETTIVE ALBERGHIERE,1 STELLA,PUBBLICAZIONE DATO NON AUTORIZZATA,PUBBLICAZIONE DATO NON AUTORIZZATA,CENTRO STORICO,0,7,11
"X: 1372362.69070833, Y: 5691282.31292628, Z: NaN",HOTEL AL DUCA DI VENEZIA,PUBBLICAZIONE DATO NON AUTORIZZATA,"SANTA CROCE,1739",PUBBLICAZIONE DATO NON AUTORIZZATA,ALBERGHI-ALBERGHI DIFFUSI,STRUTTURE RICETTIVE ALBERGHIERE,3 STELLE,PUBBLICAZIONE DATO NON AUTORIZZATA,PUBBLICAZIONE DATO NON AUTORIZZATA,CENTRO STORICO,0,12,22
"X: 1371876.86618381, Y: 5690470.76028537, Z: NaN",ALBERGO CASA PERON,PUBBLICAZIONE DATO NON AUTORIZZATA,"SANTA CROCE,84",PUBBLICAZIONE DATO NON AUTORIZZATA,ALBERGHI-ALBERGHI DIFFUSI,STRUTTURE RICETTIVE ALBERGHIERE,1 STELLA,PUBBLICAZIONE DATO NON AUTORIZZATA,PUBBLICAZIONE DATO NON AUTORIZZATA,CENTRO STORICO,0,11,20
"X: 1371384.75492325, Y: 5690566.55410515, Z: NaN",HOTEL OLIMPIA,PUBBLICAZIONE DATO NON AUTORIZZATA,"SANTA CROCE,395",PUBBLICAZIONE DATO NON AUTORIZZATA,ALBERGHI-ALBERGHI DIFFUSI,STRUTTURE RICETTIVE ALBERGHIERE,3 STELLE SUPERIOR,PUBBLICAZIONE DATO NON AUTORIZZATA,PUBBLICAZIONE DATO NON AUTORIZZATA,CENTRO STORICO,0,30,58
