geometry,DENOMINAZIONE_STRUTTURA,RAGIONE_SOCIALE,INDIRIZZO,SITOWEB,TIPOLOGIA_STRUTTURA,TIPO_STRUTTURA,CLASSIFICAZIONE,TELEFONO,INDIRIZZO_EMAIL,ZONA_IDS,PERCENTUALE_RIDUZIONE,NUMERO_STANZE,NUMERO_LETTI
"X: 1373320.51602924, Y: 5690225.118214, Z: NaN",HOTEL SAN GALLO,G.E.A. SRL,"SAN MARCO,1093/A    ",PUBBLICAZIONE DATO NON AUTORIZZATA,ALBERGHI-ALBERGHI DIFFUSI,STRUTTURE RICETTIVE ALBERGHIERE,3 STELLE,0415227311     ,sangallo@hotelsangallo.com,CENTRO STORICO,0,12,25
"X: 1373171.8128031, Y: 5689847.64504878, Z: NaN",ST. REGIS VENICE,PUBBLICAZIONE DATO NON AUTORIZZATA,"SAN MARCO,2159",PUBBLICAZIONE DATO NON AUTORIZZATA,ALBERGHI-ALBERGHI DIFFUSI,STRUTTURE RICETTIVE ALBERGHIERE,5 STELLE,PUBBLICAZIONE DATO NON AUTORIZZATA,PUBBLICAZIONE DATO NON AUTORIZZATA,CENTRO STORICO,0,185,351
"X: 1373514.09986058, Y: 5690439.69710991, Z: NaN",HOTEL SAN ZULIAN,PUBBLICAZIONE DATO NON AUTORIZZATA,"SAN MARCO,535",PUBBLICAZIONE DATO NON AUTORIZZATA,ALBERGHI-ALBERGHI DIFFUSI,STRUTTURE RICETTIVE ALBERGHIERE,3 STELLE,PUBBLICAZIONE DATO NON AUTORIZZATA,PUBBLICAZIONE DATO NON AUTORIZZATA,CENTRO STORICO,0,22,60
"X: 1373377.52710365, Y: 5689964.35883064, Z: NaN",LUNA HOTEL BAGLIONI,PUBBLICAZIONE DATO NON AUTORIZZATA,"SAN MARCO,1243",PUBBLICAZIONE DATO NON AUTORIZZATA,ALBERGHI-ALBERGHI DIFFUSI,STRUTTURE RICETTIVE ALBERGHIERE,5 STELLE SUPERIOR,PUBBLICAZIONE DATO NON AUTORIZZATA,PUBBLICAZIONE DATO NON AUTORIZZATA,CENTRO STORICO,0,117,215
"X: 1373437.4964879, Y: 5690295.64448368, Z: NaN",ROSA SALVA HOTEL,PUBBLICAZIONE DATO NON AUTORIZZATA,"SAN MARCO,951",PUBBLICAZIONE DATO NON AUTORIZZATA,ALBERGHI-ALBERGHI DIFFUSI,STRUTTURE RICETTIVE ALBERGHIERE,3 STELLE SUPERIOR,PUBBLICAZIONE DATO NON AUTORIZZATA,PUBBLICAZIONE DATO NON AUTORIZZATA,CENTRO STORICO,0,22,43
"X: 1373679.53555699, Y: 5690363.51355723, Z: NaN",HOTEL ALL'ANGELO,PUBBLICAZIONE DATO NON AUTORIZZATA,"SAN MARCO,403",PUBBLICAZIONE DATO NON AUTORIZZATA,ALBERGHI-ALBERGHI DIFFUSI,STRUTTURE RICETTIVE ALBERGHIERE,4 STELLE,PUBBLICAZIONE DATO NON AUTORIZZATA,PUBBLICAZIONE DATO NON AUTORIZZATA,CENTRO STORICO,0,56,135
"X: 1373383.98013451, Y: 5690190.57274413, Z: NaN",CAVALLETTO & DOGE ORSEOLO DIPENDENZA,PUBBLICAZIONE DATO NON AUTORIZZATA,"SAN MARCO,897/A    ",PUBBLICAZIONE DATO NON AUTORIZZATA,ALBERGHI-ALBERGHI DIFFUSI,STRUTTURE RICETTIVE ALBERGHIERE,1 STELLA,PUBBLICAZIONE DATO NON AUTORIZZATA,PUBBLICAZIONE DATO NON AUTORIZZATA,CENTRO STORICO,0,12,25
"X: 1373238.75887691, Y: 5690704.3298766, Z: NaN",RIALTO,PUBBLICAZIONE DATO NON AUTORIZZATA,"SAN MARCO,5149",PUBBLICAZIONE DATO NON AUTORIZZATA,ALBERGHI-ALBERGHI DIFFUSI,STRUTTURE RICETTIVE ALBERGHIERE,4 STELLE,PUBBLICAZIONE DATO NON AUTORIZZATA,PUBBLICAZIONE DATO NON AUTORIZZATA,CENTRO STORICO,0,79,148
"X: 1373077.7635891, Y: 5689998.25131564, Z: NaN",HOTEL KETTE,HOTEL KETTE SRL,"SAN MARCO,2053",PUBBLICAZIONE DATO NON AUTORIZZATA,ALBERGHI-ALBERGHI DIFFUSI,STRUTTURE RICETTIVE ALBERGHIERE,4 STELLE,0415207766     ,info@hotelkette.com,CENTRO STORICO,0,63,132
"X: 1373228.71886227, Y: 5690415.63418544, Z: NaN",HOTEL SAN LUCA,HOTEL SAN LUCA SRL,"SAN MARCO,4671",PUBBLICAZIONE DATO NON AUTORIZZATA,ALBERGHI-ALBERGHI DIFFUSI,STRUTTURE RICETTIVE ALBERGHIERE,3 STELLE,0412960833     ,info@hotelsanlucavenice.com,CENTRO STORICO,0,7,13
